title,total_sales,Publisher,Developer,Platform,Japan_sales,Na_sales,Other_sales,Pal_sales
Mass Effect,2.91,Microsoft Game Studios,BioWare Edmonton,X box,0.03,1.83,0.27,0.79
Cooking Mama: Cook Off,2.89,Majesco,Office Create,Wii,0.05,1.41,0.3,1.12
Hot Shots Golf 3,2.89,Sony Computer Entertainment,Clap Hanz,Play Station ,1.38,0.99,0.2,0.32
Call of Duty: Finest Hour,2.89,Activision,Spark Unlimited,Play Station ,0.01,1.51,0.24,1.12
Syphon Filter,2.88,989 Studios,Eidetic,Play Station ,0.02,2.03,0.11,0.72
Mafia III,2.87,2K Games,Hangar 13,Play Station ,0.04,0.72,0.44,1.67
Colin McRae Rally,2.87,Sony Computer Entertainment,Codemasters,Play Station ,0.12,0.09,0.22,2.43
The Elder Scrolls III: Morrowind,2.86,Bethesda Softworks,Bethesda Softworks,X box,0.03,2.09,0.11,0.63
Assassin's Creed: Brotherhood,2.85,Ubisoft,Ubisoft Montreal,Play Station ,0.11,1.87,0.3,0.57
BioShock,2.83,2K Games,2K Australia / 2K Boston,X box,0.05,1.65,0.28,0.85
WWE SmackDown! vs. Raw,2.83,THQ,Yuke's,Play Station ,0.04,1.32,0.39,1.08
Finding Nemo,2.82,THQ,Vicarious Visions,GBA,0.04,1.59,0.14,1.05
Medal of Honor,2.82,Electronic Arts,EA Los Angeles,Play Station ,0.07,1.28,0.43,1.04
Diablo III: Ultimate Evil Edition,2.82,Blizzard Entertainment,Blizzard Entertainment,Play Station ,0.08,0.83,0.44,1.48
Gran Turismo (PSP),2.82,Sony Computer Entertainment,Polyphony Digital,PSN,0.31,0.43,1.16,0.91
Need for Speed: Hot Pursuit,2.81,Electronic Arts,Criterion Games,Play Station ,0.03,1.05,0.49,1.24
Killzone 3,2.81,Sony Computer Entertainment,Guerrilla Games,Play Station ,0.09,1.46,0.38,0.87
Hot Shots Golf,2.79,Sony Computer Entertainment,Camelot Software Planning,Play Station ,2.13,0.29,0.18,0.2
WWF SmackDown! Just Bring It,2.79,THQ,Yuke's,Play Station ,0.04,1.19,0.41,1.15
Saints Row: The Third,2.77,THQ,Volition Inc.,X box,0.07,1.26,0.3,1.14
Need for Speed: Most Wanted (2012),2.74,Electronic Arts,Criterion Games,Play Station ,0.06,0.71,0.45,1.52
L.A. Noire,2.73,Rockstar Games,Team Bondi,X box,0.02,1.55,0.24,0.92
Far Cry: Primal,2.73,Ubisoft,Ubisoft Montreal,Play Station ,0.07,0.63,0.41,1.61
Need for Speed (2015),2.72,Electronic Arts,Ghost Games,Play Station ,0.06,0.59,0.41,1.66
Call of Duty 3,2.7,Activision,Treyarch,X box,0.02,1.49,0.27,0.92
LEGO Star Wars II: The Original Trilogy,2.69,LucasArts,Traveller's Tales,Play Station ,0.01,1.85,0.19,0.64
Call of Duty 2: Big Red One,2.67,Activision,Treyarch,Play Station ,0.01,1.48,0.26,0.92
Final Fantasy XIII-2,2.66,Square Enix,Square Enix,Play Station ,0.89,0.78,0.23,0.75
Medal of Honor Heroes,2.66,Electronic Arts,Team Fusion,Play Station,0.01,0.86,0.67,1.11
Need for Speed: Shift,2.65,Electronic Arts,Slightly Mad Studios,Play Station ,0.04,0.69,0.52,1.4
Medal of Honor,2.64,Electronic Arts,EA Los Angeles,X box,0.04,1.58,0.22,0.8
NBA 2K12,2.64,2K Sports,Visual Concepts,X box,0.01,2.32,0.17,0.14
Midnight Club: Street Racing,2.63,Rockstar Games,Angel Studios,Play Station ,0.02,2,0.14,0.47
