title,total_sales,Publisher,Developer,Platform,Japan_sales,Na_sales,Other_sales,Pal_sales
Final Fantasy: The 4 Heroes of Light,0.58,Square Enix,Matrix Software,Nintendo,0.23,0.22,0.03,0.1
Kirby and the Rainbow Curse,0.58,Nintendo,HAL Laboratory,WiiU,0.13,0.26,0.04,0.14
Digimon World 2,0.58,Bandai,Bandai,Play Station ,0.16,0.23,0.04,0.16
F1 2013,0.58,Codemasters,Codemasters Birmingham,Play Station ,0.03,0.01,0.08,0.47
Disney Magic World 2,0.58,Nintendo,High Horse Entertainment,Nintendo,0.23,0.07,0.02,0.25
Disgaea 4: A Promise Unforgotten,0.58,NIS America,Nippon Ichi Software,Play Station ,0.14,0.27,0.06,0.11
Theme Park,0.57,Electronic Arts,Bullfrog Productions,Play Station ,0.13,0.24,0.04,0.16
BlazBlue: Calamity Trigger,0.57,Aksys Games,Arc System Works,Play Station ,0.06,0.36,0.06,0.1
Resident Evil: Revelations 2,0.57,Capcom,Capcom,Play Station ,0.11,0.14,0.07,0.25
Ultra Street Fighter II: The Final Challengers,0.57,Capcom,Capcom,Nintendo,0.09,0.22,0.04,0.22
Harvest Moon: The Tale of Two Towns,0.57,Natsume,Marvelous Interactive,Nintendo,0.22,0.27,0.03,0.06
Beyond The Beyond,0.57,Sony Computer Entertainment,Camelot Software Planning,Play Station ,0.35,0.11,0.04,0.08
Mega Man Star Force 2: Zerker x Ninja / Saurian,0.57,Capcom,Capcom,Nintendo,0.31,0.24,0.02,0
Harvest Moon: Sunshine IslanNintendo,0.57,Natsume,Marvelous Interactive,Nintendo,0.17,0.35,0.03,0.03
Dynasty Warriors 5: Xtreme LegenNintendo,0.57,KOEI,Omega Force,Play Station ,0.35,0.11,0.03,0.08
Wreckless: ThE YaKuza MisSiOns,0.57,Activision,Bunkasha Publishing,X box,0.02,0.42,0.02,0.11
Top Spin 3,0.57,2K Sports,Pam Development,Play Station ,0,0.08,0.12,0.37
Resident Evil Outbreak File #2,0.57,Capcom,Capcom Production Studio 1,Play Station ,0.17,0.19,0.05,0.15
LEGO Jurassic World,0.57,Warner Bros. Interactive Entertainment,Traveller's Tales,WiiU,0.03,0.29,0.05,0.2
Breath of Fire IV,0.56,Capcom,Capcom,Play Station ,0.34,0.11,0.04,0.08
Everybody's Golf,0.56,Sony Interactive Entertainment,Clap Hanz,Play Station ,0.17,0.12,0.06,0.22
The Amazing Spider-Man 2 (2014),0.56,Activision,Beenox,Play Station ,0.02,0.2,0.09,0.26
Odin Sphere,0.56,Atlus,Vanillaware,Play Station ,0.09,0.23,0.06,0.18
Final Fantasy IV: The Complete Collection,0.56,Square Enix,Matrix Software,Play Station,0.27,0.13,0.06,0.09
Soul Sacrifice,0.56,Sony Computer Entertainment,Marvelous Entertainment,Play Station,0.22,0.15,0.08,0.11
Classic NES Series: Dr. Mario,0.56,Nintendo,Nintendo,GBA,0.13,0.31,0.01,0.11
Tom Clancy's HAWX,0.56,Ubisoft,Ubisoft Romania,Play Station ,0.05,0.21,0.09,0.22
Xenoblade Chronicles,0.56,Nintendo,Monolith Soft,Nintendo,0.13,0.24,0.04,0.15
Tetris Party Deluxe,0.56,Majesco,"Tetris Online, Inc",Wii,0.02,0.33,0.05,0.16
Puzzle & Dragons Z + Super Mario Bros. Edition,0.56,Nintendo,GungHo Online Entertainment,Nintendo,0.35,0.09,0.02,0.11
Metroid: Samus Returns,0.56,Nintendo,Mercury Steam,Nintendo,0.07,0.3,0.05,0.15
Mega Man X2,0.56,Capcom,Capcom,SNES,0.45,0.09,0,0.02
Resident Evil 2,0.56,Capcom,Angel Studios,Nintendo,0.07,0.39,0.01,0.09
Fullmetal Alchemist and the Broken Angel,0.56,Square Enix,Racjin,Play Station ,0.26,0.15,0.04,0.12
Just Cause 4,0.56,Square Enix,Avalanche Studios,Play Station ,0.03,0.18,0.09,0.26
Enslaved: Odyssey to the West,0.56,Namco Bandai,Ninja Theory,Play Station ,0.01,0.24,0.08,0.23
No More Heroes,0.56,Ubisoft,Grasshopper Manufacture,Wii,0.04,0.29,0.05,0.17
Sonic Forces,0.56,Sega,Sonic Team,Play Station ,0.01,0.15,0.09,0.31
Frontlines: Fuel of War,0.56,THQ,Kaos Studios,X box,0.01,0.34,0.05,0.15
Lunar: Silver Star Story Complete,0.55,Working Designs,Game Arts,Play Station ,0.06,0.27,0.04,0.18
LorNintendo of the Fallen,0.55,Namco Bandai Games,DECK13 Interactive,Play Station ,0.02,0.2,0.09,0.24
Metal Gear Solid 3: Subsistence,0.55,Konami,Kojima Productions,Play Station ,0.15,0.34,0.06,0.01
Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,0.55,Level 5,Level 5,Nintendo,0.15,0.12,0.03,0.25
Poochy & Yoshi's Woolly World,0.55,Nintendo,Good-Feel,Nintendo,0.17,0.2,0.03,0.16
Extermination,0.55,Sony Computer Entertainment,Deep Space,Play Station ,0.12,0.21,0.05,0.16
Disgaea 3: Absence of Justice,0.55,NIS America,Nippon Ichi Software,Play Station ,0.11,0.36,0.05,0.03
Mega Man Zero,0.55,Capcom,Inti Creates,GBA,0.24,0.22,0.01,0.08
LegenNintendo of WrestleMania,0.55,THQ,Yuke's,Play Station ,0,0.3,0.07,0.17
Spec Ops: The Line,0.55,2K Games,Yager Development,Play Station ,0.04,0.19,0.07,0.24
Donkey Kong Jungle Climber,0.55,Nintendo,Paon Corporation,Nintendo,0.24,0.25,0.03,0.03
Mortal Kombat 3,0.55,Sony Computer Entertainment,Midway Games,Play Station ,0.02,0.29,0.04,0.2
Project CARS 2,0.55,Namco Bandai Games,Slightly Mad Studios,Play Station ,0.02,0.1,0.08,0.35
ModNation Racers,0.54,Sony Computer Entertainment,SCE San Diego Studio,Play Station,0.02,0.11,0.14,0.27
Dynasty Warriors: Gundam 3,0.54,Tecmo Koei,Omega Force,Play Station ,0.36,0.11,0.02,0.05
Bulletstorm,0.54,Electronic Arts,People Can Fly,Play Station ,0.01,0.24,0.09,0.2
Enslaved: Odyssey to the West,0.54,Namco Bandai,Ninja Theory,X box,0,0.3,0.05,0.19
NBA Live 10,0.54,EA Sports,EA Canada,Play Station ,0.01,0.46,0.05,0.03
Hotel Dusk: Room 215,0.54,Nintendo,Cing,Nintendo,0.22,0.26,0.03,0.04
FIFA 18,0.54,EA Sports,EA Vancouver,Play Station ,0.01,0.06,0.08,0.4
Dragon Ball Z: Ultimate Tenkaichi,0.54,Namco Bandai,Spike,X box,0.01,0.39,0.05,0.1
Valkyria Chronicles II,0.54,Sega,Sega WOW Overworks,Play Station,0.18,0.12,0.09,0.16
Bust A Groove,0.54,989 Studios,Metro,Play Station ,0.35,0.09,0.04,0.06
Fire Emblem: Path of Radiance,0.54,Nintendo,Intelligent Systems,GC,0.16,0.29,0.01,0.08
METRO 2033,0.54,THQ,4a-games,X box,0.03,0.22,0.05,0.23
Mario Tennis Ultra Smash,0.54,Nintendo,Camelot Software Planning,WiiU,0.15,0.16,0.03,0.2
Tactics Ogre: Let Us Cling Together,0.54,Square Enix,Square Enix,Play Station,0.27,0.15,0.05,0.07
Tales of Symphonia Chronicles,0.54,Namco Bandai Games,Namco,Play Station ,0.13,0.21,0.07,0.13
Two WorlNintendo II,0.54,SouthPeak Interactive,Reality Pump,X box,0.03,0.4,0.04,0.07
Sacred 2: Fallen Angel,0.54,CDV Software Entertainment,Ascaron Entertainment,X box,0.04,0.29,0.05,0.16
Time Crisis: Razing Storm,0.54,Namco Bandai,Nex Entertainment,Play Station ,0.07,0.18,0.08,0.21
Tatsunoko vs. Capcom: Ultimate All-Stars,0.54,Capcom,Eighting,Wii,0.03,0.3,0.05,0.16
Dragon Ball: Fusions,0.54,Namco Bandai Games,Ganbarion,Nintendo,0.24,0.17,0.03,0.09
Rune Factory: A Fantasy Harvest Moon,0.53,Natsume,Neverland Company,Nintendo,0.14,0.35,0.03,0.01
Clock Tower,0.53,ASCII Entertainment,Human Entertainment,Play Station ,0.38,0.07,0.03,0.05
Unit 13,0.53,Sony Computer Entertainment,Zipper Interactive,Play Station,0.04,0.25,0.09,0.15
Phoenix Wright: Ace Attorney - Justice for All,0.53,Capcom,Capcom,Nintendo,0.26,0.21,0.03,0.04
Michael Jackson: The Experience,0.53,Ubisoft,Ubisoft Montreal,Play Station ,0,0.25,0.09,0.19
Excite Truck,0.53,Nintendo,Monster Games Inc.,Wii,0.08,0.39,0.04,0.03
Magician's Quest: Mysterious Times,0.53,Konami,Konami,Nintendo,0.48,0.04,0,0.01
Sonic & Sega All-Stars Racing Transformed,0.53,Sega,Sumo Digital,WiiU,0.02,0.19,0.04,0.28
FIFA Soccer 12,0.53,EA Sports,EA Canada,Play Station,0.02,0.12,0.13,0.26
Terminator Salvation,0.53,Warner Bros. Interactive,GRIN,Play Station ,0.01,0.13,0.1,0.29
F1 2018,0.53,Codemasters,Codemasters Birmingham,Play Station ,0.01,0.05,0.08,0.39
Star Fox Command,0.53,Nintendo,Nintendo EAD / Q-Games,Nintendo,0.1,0.38,0.04,0.01
Mario Tennis: Power Tour,0.52,Nintendo,Camelot Software Planning,GBA,0.19,0.24,0.01,0.09
Silent Hill: Origins,0.52,Konami,Climax Group,Play Station,0.04,0.22,0.1,0.16
Mystery Dungeon: Shiren the Wanderer,0.52,Sega,ChunSoft,Nintendo,0.33,0.17,0.02,0
GT Pro Series,0.52,Ubisoft,MTO,Wii,0.02,0.46,0.04,0.01
F.E.A.R. 2: Project Origin,0.52,Warner Bros. Interactive,Monolith Productions,X box,0,0.32,0.05,0.15
Metal Gear Solid 2: Substance,0.52,Konami,Konami Computer Entertainment Japan,Play Station ,0.16,0.18,0.05,0.14
NBA Live 08,0.52,Electronic Arts,EA Canada,X box,0,0.47,0.04,0
We Cheer,0.52,Namco Bandai,"Machatin, Inc.",Wii,0,0.47,0.04,0
Naruto Shippuden: Ultimate Ninja Storm 3,0.52,Namco Bandai Games,CyberConnect2,X box,0.01,0.3,0.05,0.17
NBA Live 09,0.52,Electronic Arts,EA Canada,Play Station ,0.02,0.46,0.04,0
Mega Man 6,0.52,Nintendo,Capcom,Nintendo,0.16,0.28,0.01,0.07
The 3rd Birthday,0.52,Square Enix,HexaDrive,Play Station,0.27,0.13,0.05,0.07
Rival Schools: United By Fate,0.52,Capcom,Capcom,Play Station ,0.28,0.12,0.03,0.08
Swing Away Golf,0.52,Electronic Arts,Tikipod,Play Station ,0.18,0.17,0.04,0.13
Tomb Raider: Legend,0.52,Eidos Interactive,Crystal Dynamics,Play Station ,0.02,0.25,0.06,0.19
Rune Factory 2: A Fantasy Harvest Moon,0.52,Natsume,Neverland Company,Nintendo,0.15,0.32,0.03,0.03
Way of the Samurai 3,0.52,Agetec,Acquire,Play Station ,0.22,0.18,0.04,0.08
SimAnimals,0.52,Electronic Arts,Electronic Arts,Nintendo,0,0.26,0.05,0.21
Omega Boost,0.52,Sony Computer Entertainment,Polyphony Digital,Play Station ,0.2,0.17,0.03,0.11
One Piece: Pirate Warriors 3,0.52,Tecmo Koei,Omega Force,Play Station ,0.11,0.11,0.06,0.22
Way of the Samurai,0.51,BAM! Entertainment,Acquire,Play Station ,0.25,0.13,0.03,0.1
Lair,0.51,Sony Computer Entertainment,Factor 5,Play Station ,0.08,0.36,0.04,0.04
Hitman 2,0.51,Warner Bros. Interactive Entertainment,IO Interactive,Play Station ,0.02,0.19,0.08,0.22
International Track & Field,0.51,Konami,Konami,Play Station ,0.35,0.08,0.03,0.05
SoulCalibur: Broken Destiny,0.51,Namco Bandai,Project Soul,Play Station,0.07,0.12,0.12,0.2
Pro Evolution Soccer 2010,0.51,Konami,Konami,Wii,0.06,0.12,0.05,0.27
International Superstar Soccer 2000 (All region sales),0.51,Konami,KCEO,Nintendo,0.22,0.01,0.02,0.26
Bleach: Soul Resurreccion,0.51,NIS America,Eighting,Play Station ,0.07,0.27,0.06,0.11
Mario & Luigi Superstar Saga + Bowser's Minions,0.51,Nintendo,AlphaDream Corporation,Nintendo,0.08,0.2,0.04,0.2
Dynasty Warriors,0.51,Tecmo Koei,Omega Force,Play Station,0.3,0.18,0.02,0
Dragon Ball: Raging Blast,0.51,Namco Bandai,Spike,X box,0.02,0.36,0.04,0.08
Capcom Classics Collection,0.51,Capcom,Digital Eclipse,Play Station ,0.05,0.22,0.06,0.17
Fire Emblem Warriors,0.51,Nintendo,Omega Force,Nintendo,0.1,0.22,0.04,0.14
Homefront: The Revolution,0.5,Deep Silver,Dambuster Studios,Play Station ,0.04,0.11,0.07,0.29
FIFA 14,0.5,EA Sports,EA Canada,Play Station,0.01,0.08,0.11,0.3
Rooms: The Main Building,0.5,HuNintendoon Soft,HandMade Game,Nintendo,0.01,0.1,0.05,0.35
R.U.S.E.,0.5,Ubisoft,Eugen Systems,Play Station ,0.02,0.18,0.08,0.22
Attack on Titan,0.5,Tecmo Koei,Omega Force,Play Station ,0.12,0.08,0.06,0.24
Picross Nintendo,0.5,Nintendo,Jupiter Multimedia,Nintendo,0.3,0.17,0.02,0.02
Sega Bass Fishing,0.5,Sega,Cavia Inc.,Wii,0,0.45,0.04,0.01
PlayStation All-Stars Battle Royale,0.5,Sony Computer Entertainment,Bluepoint Games,Play Station,0.01,0.21,0.12,0.16
Picross 3D,0.5,Nintendo,HAL Laboratory,Nintendo,0.16,0.28,0.03,0.03
Sonic & Sega All-Stars Racing Transformed,0.5,Sega,Sumo Digital,Play Station ,0.02,0.08,0.07,0.33
Bakugan Battle Brawlers: Defenders of the Core,0.5,Activision,Now Production,Nintendo,0.02,0.43,0.03,0.02
Pro Evolution Soccer 2019,0.5,Konami,Konami,Play Station ,0.15,0.06,0.05,0.23
Alice: Madness Returns,0.5,Electronic Arts,Spicy Horse,X box,0.04,0.27,0.04,0.15
Super Monkey Ball 3D,0.5,Sega,Sega,Nintendo,0.05,0.26,0.04,0.15
Wet,0.5,Bethesda Softworks,Artificial Mind and Movement,X box,0.01,0.23,0.05,0.21
Spider-Man 2,0.5,Activision,Vicarious Visions,Nintendo,0.03,0.41,0.04,0.02
Dragon's Crown,0.5,Atlus,Vanillaware,Play Station ,0.17,0.27,0.02,0.04
Steel Diver,0.5,Nintendo,Nintendo EAD,Nintendo,0.05,0.31,0.04,0.1
Resident Evil: The Mercenaries 3D,0.49,Capcom,Capcom,Nintendo,0.13,0.16,0.03,0.17
Dynasty Warriors: Gundam 2,0.49,Namco Bandai,Omega Force,Play Station ,0.32,0.09,0.03,0.07
Tony Hawk's Project 8,0.49,Activision,Neversoft Entertainment,X box,0,0.44,0.04,0.02
Dragon Ball Z: Supersonic Warriors 2,0.49,Atari,Arc System Works,Nintendo,0.32,0.13,0.02,0.02
Story of Seasons: Trio of Towns,0.49,Marvelous Interactive,Marvelous Entertainment,Nintendo,0.22,0.19,0.03,0.06
Fire Emblem: Radiant Dawn,0.49,Nintendo,Intelligent Systems,Wii,0.17,0.27,0.03,0.03
Mario Golf: World Tour,0.49,Nintendo,Camelot Software Planning,Nintendo,0.18,0.14,0.03,0.15
Ace Combat: Assault Horizon,0.49,Namco Bandai,Project ACES,X box,0.03,0.3,0.04,0.12
Asphalt 3D,0.49,Ubisoft,Konami,Nintendo,0.02,0.27,0.04,0.16
Tactics Ogre: The Knight of Lodis,0.5,Atlus,Quest Corporation,GBA,0.31,0.13,0.01,0.05
Hometown Story,0.5,Natsume,Toy Box,Nintendo,0.04,0.29,0.04,0.13
Dead or Alive Ultimate,0.5,Tecmo,Team Ninja,X box,0.08,0.3,0.02,0.1
RPG Maker,0.5,Agetec,Agetec Inc.,Play Station ,0.29,0.11,0.03,0.07
NBA Street Homecourt,0.5,EA Sports,EA Canada,X box,0,0.45,0.04,0.01
Pokémon Art Academy,0.5,Nintendo,HeaNintendotrong Games,Nintendo,0.17,0.18,0.03,0.12
Epic Mickey: Power of Illusion,0.5,Disney Interactive Studios,DreamRift,Nintendo,0.04,0.36,0.04,0.05
Monster Hunter,0.5,Capcom,Capcom,Play Station ,0.28,0.11,0.03,0.08
Kane & Lynch 2: Dog Days,0.49,Square Enix,IO Interactive,X box,0.01,0.2,0.05,0.23
Animal Crossing: Amiibo Festival,0.49,Nintendo,"Nd Cube Co., Ltd.",WiiU,0.1,0.23,0.04,0.12
The Evil Within,0.49,Bethesda Softworks,Tango Gameworks,X box,0.01,0.28,0.04,0.16
Virtua Tennis 4: World Tour,0.49,Sega,Sega,Play Station,0.01,0.04,0.09,0.34
Mario & Sonic at the Rio 2016 Olympic Games,0.49,Nintendo,Sega Sports R&D,WiiU,0.13,0.1,0.03,0.23
Dragon Ball Z: Burst Limit,0.49,Atari,Dimps Corporation,X box,0.03,0.24,0.05,0.18
Crazy Taxi,0.49,Acclaim Entertainment,Hitmaker,GC,0.02,0.36,0.01,0.09
Art Academy: Lessons for Everyone!,0.49,Nintendo,HeaNintendotrong Games,Nintendo,0.21,0.2,0.02,0.05
DiRT 4,0.49,Deep Silver,Codemasters,Play Station ,0.02,0.1,0.07,0.3
Hyrule Warriors LegenNintendo,0.49,Nintendo,Omega Force,Nintendo,0.12,0.17,0.03,0.16
Dark Souls: Remastered,0.49,Bandai Namco Entertainment,From Software,Play Station ,0.14,0.13,0.06,0.16
Alone in the Dark,0.49,Atari,Eden Studios,X box,0,0.14,0.05,0.3
Street Fighter X Tekken,0.48,Capcom,Capcom,X box,0.03,0.32,0.04,0.1
Atelier Rorona: Alchemist of Arland,0.48,NIS America,Gust,Play Station ,0.11,0.22,0.05,0.1
The Walking Dead: A Telltale Games Series,0.48,Telltale Games,Telltale Games,Play Station ,0.03,0.12,0.07,0.26
Lollipop Chainsaw,0.48,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,X box,0.02,0.31,0.04,0.12
Fortune Street,0.48,Nintendo,Square Enix,Wii,0.17,0.25,0.03,0.03
Battleborn,0.48,2K Games,Gearbox Software,Play Station ,0.03,0.25,0.08,0.12
Dark Sector,0.48,D3 Publisher,Digital Extremes,X box,0.01,0.22,0.05,0.2
Children of Mana,0.48,Nintendo,Next Entertainment,Nintendo,0.29,0.16,0.01,0.01
Wolfenstein: The Old Blood,0.48,Bethesda Softworks,MachineGames,Play Station ,0.02,0.13,0.07,0.25
Fantavision,0.47,Sony Computer Entertainment,SCEI,Play Station ,0.19,0.14,0.04,0.11
Alien Trilogy,0.47,Acclaim Entertainment,Probe Entertainment Limited,Play Station ,0.04,0.24,0.03,0.16
Harvest Moon 64,0.48,Natsume,Toy Box Studios,Nintendo,0.11,0.25,0.06,0.06
Luigi's Mansion,0.47,Nintendo,GREZZO,Nintendo,0.09,0.19,0.03,0.16
Dynasty Warriors Gundam,0.47,Namco Bandai,Omega Force,Play Station ,0.31,0.14,0.02,0.01
Friday the 13th: The Game,0.48,Gun Media,IllFonic,Play Station ,0.03,0.29,0.08,0.09
Dark Sector,0.47,D3 Publisher,Digital Extremes,Play Station ,0.01,0.23,0.07,0.16
Crazy Taxi: Fare Wars,0.48,Sega,Sniper Studios,Play Station,0.02,0.1,0.13,0.23
Sonic Lost World,0.48,Sega,Dimps Corporation,Nintendo,0.07,0.22,0.04,0.15
James Bond 007: Blood Stone,0.47,Activision,Bizarre Creations,X box,0,0.2,0.05,0.23
F.E.A.R. 2: Project Origin,0.47,Warner Bros. Interactive,Monolith Productions,Play Station ,0.01,0.19,0.08,0.2
Silent Hill: Downpour,0.47,Konami,Konami,Play Station ,0.04,0.21,0.06,0.16
Unreal Tournament III,0.47,Midway Games,Epic Games,X box,0.01,0.25,0.05,0.17
2010 FIFA World Cup South Africa,0.47,EA Sports,EA Canada,Play Station,0.03,0.09,0.12,0.23
Victorious Boxers: Ippo's Road to Glory,0.47,Empire Interactive,New,Play Station ,0.38,0.05,0.01,0.04
Dead Space Extraction,0.47,Electronic Arts,Visceral Games,Wii,0.01,0.32,0.04,0.1
Bomberman Hero,0.47,Nintendo,AI,Nintendo,0.08,0.27,0.05,0.06
Viva Pinata: Trouble in Paradise,0.47,Microsoft Game Studios,Rare Ltd.,X box,0.01,0.16,0.05,0.25
Silent Hill: Shattered Memories,0.47,Konami,Climax Group,Wii,0.01,0.22,0.05,0.19
FlingSmash,0.47,Nintendo,Artoon,Wii,0.07,0.37,0.02,0.01
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,0.47,Square Enix,Omega Force,Play Station ,0.3,0.05,0.03,0.09
Final Fantasy Crystal Chronicles: Echoes of Time,0.47,Square Enix,Square Enix,Nintendo,0.27,0.12,0.02,0.06
Detective Pikachu,0.47,Nintendo,Creatures Inc.,Nintendo,0.12,0.15,0.03,0.17
Knack 2,0.47,Sony Interactive Entertainment,SIE Japan Studio,Play Station ,0.01,0.14,0.07,0.25
Two WorlNintendo II,0.47,SouthPeak Interactive,Reality Pump,Play Station ,0.06,0.26,0.04,0.1
Sonic Mania,0.47,Sega,PagodaWest Games,Nintendo,0.01,0.23,0.04,0.18
SimCity Creator,0.46,Electronic Arts,The Sims Studio,Wii,0.04,0.36,0.04,0.03
Classic NES Series: Pac-Man,0.46,Nintendo,Nintendo,GBA,0.12,0.25,0.01,0.09
Dissidia Final Fantasy NT,0.46,Square Enix,Square Enix,Play Station ,0.16,0.19,0.05,0.06
Rygar: The Legendary Adventure,0.46,Tecmo,Tecmo,Play Station ,0.06,0.2,0.05,0.15
Kessen II,0.46,KOEI,Koei,Play Station ,0.2,0.13,0.03,0.1
Red Faction: Armageddon,0.46,THQ,Volition Inc.,Play Station ,0.03,0.2,0.07,0.15
Battlefield: Hardline,0.46,Electronic Arts,EA DICE,Play Station ,0.08,0.15,0.06,0.17
Need for Speed: Hot Pursuit,0.46,Electronic Arts,Exient Entertainment,Wii,0,0.17,0.05,0.24
Mario Sports Superstars,0.46,Nintendo,Namco Bandai Games,Nintendo,0.13,0.18,0.03,0.12
Wolfenstein: The New Order,0.46,Bethesda Softworks,MachineGames,Play Station ,0.02,0.14,0.07,0.22
Hyrule Warriors: Definitive Edition,0.46,Nintendo,Omega Force,Nintendo,0.07,0.21,0.03,0.15
.hack//Outbreak Part 3,0.46,Bandai,CyberConnect2,Play Station ,0.17,0.14,0.04,0.11
Naruto Shippuden: Ultimate Ninja Storm Revolution,0.45,Namco Bandai Games,CyberConnect2,Play Station ,0.09,0.16,0.06,0.15
Enter the Matrix,0.45,Atari,Shiny Entertainment,GC,0.02,0.34,0.01,0.09
Bleach: The Blade of Fate,0.45,Sega,"Treasure Co., Ltd.",Nintendo,0.12,0.29,0.03,0.01
Phantasy Star Online Episode I & II,0.45,Sega,Sonic Team,GC,0.16,0.23,0.01,0.06
Burnout Dominator,0.45,Electronic Arts,Criterion Games,Play Station,0.01,0.02,0.05,0.38
Dynasty Warriors: Strikeforce,0.45,Tecmo Koei,Omega Force,Play Station,0.38,0.03,0.02,0.02
F.E.A.R. 3,0.45,Warner Bros. Interactive,Day 1 Studios,Play Station ,0.01,0.21,0.07,0.16
Terraria,0.45,505 Games,Engine Software,Play Station ,0.09,0.09,0.06,0.21
Fable Anniversary,0.45,Microsoft Studios,Lionhead Studios,X box,0.01,0.26,0.04,0.15
Yakuza Kiwami,0.45,Sega,Sega,Play Station ,0.21,0.13,0.04,0.07
PES 2009: Pro Evolution Soccer,0.45,Konami,Konami,Wii,0.05,0.09,0.05,0.26
Pirates of the Caribbean: At World's End,0.45,Disney Interactive Studios,Eurocom Entertainment Software,Wii,0.01,0.39,0.04,0.02
Tales of Zestiria,0.45,Namco Bandai Games,Namco Bandai Games,Play Station ,0.04,0.18,0.07,0.16
Samurai Warriors: Xtreme LegenNintendo,0.45,KOEI,Omega Force,Play Station ,0.36,0.04,0.01,0.03
Naruto Shippuden: Ultimate Ninja Storm Generations,0.45,Namco Bandai Games,CyberConnect2,X box,0.01,0.26,0.04,0.14
F.E.A.R. 3,0.45,Warner Bros. Interactive,Day 1 Studios,X box,0.01,0.3,0.04,0.11
Vandal Hearts,0.45,Konami,Konami Computer Entertainment Tokyo,Play Station ,0.19,0.14,0.03,0.09
Virtua Tennis 4,0.45,Sega,Sega-AM2,Play Station ,0.03,0.09,0.08,0.24
DmC Devil May Cry,0.45,Capcom,Ninja Theory,X box,0.01,0.27,0.04,0.13
Star Ocean 5: Integrity and Faithlessness,0.45,Square Enix,tri-Ace,Play Station ,0.16,0.1,0.05,0.13
Sid Meier's Civilization Revolution,0.45,2K Games,Firaxis,Nintendo,0.02,0.37,0.03,0.03
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,0.45,Sony Computer Entertainment,Slant Six Games,Play Station,0.06,0.17,0.09,0.13
World Soccer Winning Eleven 9,0.44,Konami,Konami Computer Entertainment Tokyo,X box,0.02,0.06,0.03,0.33
Ninja Gaiden 3,0.44,Tecmo Koei,Team Ninja,Play Station ,0.11,0.19,0.05,0.09
Shin Megami Tensei: Devil Survivor Overclocked,0.44,Atlus,Career Soft,Nintendo,0.06,0.34,0.04,0.01
Hey! Pikmin,0.44,Nintendo,Arzest,Nintendo,0.17,0.17,0.03,0.08
Chocobo Racing,0.44,Square EA,SquareSoft,Play Station ,0.3,0.07,0.03,0.05
Metal Gear Solid HD Collection,0.44,Konami Digital Entertainment,Kojima Productions,Play Station,0.05,0.12,0.08,0.2
Pro Evolution Soccer 2016,0.44,Konami Digital Entertainment,PES Productions,Play Station ,0.16,0.11,0.05,0.12
Star Fox: Zero,0.44,Nintendo,Nintendo EPD,WiiU,0.09,0.2,0.03,0.12
Bomberman II,0.44,HuNintendoon Soft,HuNintendoon Soft,Nintendo,0.15,0.16,0.1,0.03
Tetris Axis,0.44,Nintendo,HuNintendoon Soft,Nintendo,0.06,0.2,0.03,0.14
Samurai Warriors 3,0.44,Nintendo,Omega Force,Wii,0.32,0.09,0.01,0.02
Yu-Gi-Oh! 5D's Tag Force 4,0.44,Konami,Konami,Play Station,0.12,0.19,0.05,0.07
2014 FIFA World Cup Brazil,0.44,EA Sports,EA Canada,X box,0,0.15,0.03,0.25
Eternal Sonata,0.44,Namco Bandai,Tri-Crescendo,Play Station ,0.07,0.19,0.05,0.12
Hyperdimension Neptunia,0.44,NIS America,Compile Heart,Play Station ,0.07,0.22,0.04,0.1
The Darkness,0.44,2K Games,Starbreeze,X box,0.01,0.36,0.03,0.04
Resistance: Burning Skies,0.44,Sony Computer Entertainment,Nihilistic Software,Play Station,0.02,0.18,0.08,0.16
Metro: Last Light,0.44,Deep Silver,4a-games,Play Station ,0.03,0.14,0.07,0.21
Classic NES Series: Metroid,0.43,Nintendo,Nintendo,GBA,0.07,0.26,0.01,0.1
Master of Illusion,0.43,Nintendo,Tenyo,Nintendo,0.26,0.16,0.01,0
007: Quantum of Solace,0.43,Activision,Treyarch,Play Station ,0,0.17,0.26,0
Trials Fusion,0.43,Ubisoft,Unknown,Play Station ,0.01,0.13,0.07,0.23
Mega Man Zero 2,0.43,Capcom,Inti Creates,GBA,0.17,0.18,0.01,0.07
OkamiDen,0.43,Capcom,Capcom,Nintendo,0.13,0.21,0.02,0.07
Mischief Makers,0.43,Nintendo,"Treasure Co., Ltd.",Nintendo,0.07,0.25,0.06,0.06
Castlevania: Dawn of Sorrow,0.43,Konami,Konami,Nintendo,0.03,0.34,0.03,0.03
NBA 2K18,0.43,2K Sports,Visual Concepts,Nintendo,0.03,0.3,0.04,0.06
Asura's Wrath,0.43,Capcom,CyberConnect2,Play Station ,0.06,0.2,0.05,0.12
Doom (2016),0.43,Bethesda Softworks,id Software,Nintendo,0.01,0.24,0.04,0.15
Cool Boarders,0.43,Sony Computer Entertainment,UEP Systems,Play Station ,0.24,0.1,0.03,0.07
Mobile Suit Gundam: Zeonic Front,0.43,Bandai,Sunrise Interactive,Play Station ,0.25,0.09,0.02,0.07
Atelier Totori: The Adventurer of Arland,0.43,NIS America,Gust,Play Station ,0.21,0.12,0.03,0.07
